postal_code,city,department,insee_code,city_norm
01400,L ABERGEMENT CLEMENCIAT,AIN,1001,l abergement clemenciat
01640,L ABERGEMENT DE VAREY,AIN,1002,l abergement de varey
01090,AMAREINS,AIN,1003,amareins
01500,AMBERIEU EN BUGEY,AIN,1004,amberieu en bugey
01330,AMBERIEUX EN DOMBES,AIN,1005,amberieux en dombes
01300,AMBLEON,AIN,1006,ambleon
01500,AMBRONAY,AIN,1007,ambronay
01500,AMBUTRIX,AIN,1008,ambutrix
01300,ANDERT ET CONDON,AIN,1009,andert et condon
01350,ANGLEFORT,AIN,1010,anglefort
01100,APREMONT,AIN,1011,apremont
01110,ARANC,AIN,1012,aranc
01230,ARANDAS,AIN,1013,arandas
01100,ARBENT,AIN,1014,arbent
01300,ARBIGNIEU,AIN,1015,arbignieu
01190,ARBIGNY,AIN,1016,arbigny
01230,ARGIS,AIN,1017,argis
01510,ARMIX,AIN,1019,armix
01480,ARS SUR FORMANS,AIN,1021,ars sur formans
01510,ARTEMARE,AIN,1022,artemare
01570,ASNIERES SUR SAONE,AIN,1023,asnieres sur saone
01340,ATTIGNAT,AIN,1024,attignat
01380,BAGE LA VILLE,AIN,1025,bage la ville
01380,BAGE LE CHATEL,AIN,1026,bage le chatel
01360,BALAN,AIN,1027,balan
01990,BANEINS,AIN,1028,baneins
01270,BEAUPONT,AIN,1029,beaupont
01480,BEAUREGARD,AIN,1030,beauregard
01810,BELLIGNAT,AIN,1031,bellignat
01360,BELIGNEUX,AIN,1032,beligneux
01200,BELLEGARDE SUR VALSERINE,AIN,1033,bellegarde sur valserine
01300,BELLEY,AIN,1034,belley
01130,BELLEYDOUX,AIN,1035,belleydoux
01260,BELMONT LUTHEZIEU,AIN,1036,belmont luthezieu
01470,BENONCES,AIN,1037,benonces
01370,BENY,AIN,1038,beny
01350,BEON,AIN,1039,beon
01340,BEREZIAT,AIN,1040,bereziat
01500,BETTANT,AIN,1041,bettant
01290,BEY,AIN,1042,bey
01700,BEYNOST,AIN,1043,beynost
01200,BILLIAT,AIN,1044,billiat
01330,BIRIEUX,AIN,1045,birieux
01290,BIZIAT,AIN,1046,biziat
01150,BLYES,AIN,1047,blyes
01250,BOHAS,AIN,1048,bohas
01120,LA BOISSE,AIN,1049,la boisse
01190,BOISSEY,AIN,1050,boissey
01450,BOLOZON,AIN,1051,bolozon
01330,BOULIGNEUX,AIN,1052,bouligneux
01000,BOURG EN BRESSE,AIN,1053,bourg en bresse
01800,BOURG ST CHRISTOPHE,AIN,1054,bourg st christophe
01100,BOUVENT,AIN,1055,bouvent
01640,BOYEUX ST JEROME,AIN,1056,boyeux st jerome
01190,BOZ,AIN,1057,boz
01300,BREGNIER CORDON,AIN,1058,bregnier cordon
01260,BRENAZ,AIN,1059,brenaz
01110,BRENOD,AIN,1060,brenod
01300,BRENS,AIN,1061,brens
01360,BRESSOLLES,AIN,1062,bressolles
01460,BRION,AIN,1063,brion
01470,BRIORD,AIN,1064,briord
01310,BUELLAS,AIN,1065,buellas
01510,LA BURBANCHE,AIN,1066,la burbanche
01430,CEIGNES,AIN,1067,ceignes
01450,CERDON,AIN,1068,cerdon
01240,CERTINES,AIN,1069,certines
01090,CESSEINS,AIN,1070,cesseins
01170,CESSY,AIN,1071,cessy
01250,CEYZERIAT,AIN,1072,ceyzeriat
01350,CEYZERIEU,AIN,1073,ceyzerieu
01320,CHALAMONT,AIN,1074,chalamont
01480,CHALEINS,AIN,1075,chaleins
01230,CHALEY,AIN,1076,chaley
01450,CHALLES,AIN,1077,challes
01630,CHALLEX,AIN,1078,challex
01260,CHAMPAGNE EN VALROMEY,AIN,1079,champagne en valromey
01110,CHAMPDOR,AIN,1080,champdor
01410,CHAMPFROMIER,AIN,1081,champfromier
01420,CHANAY,AIN,1082,chanay
01990,CHANEINS,AIN,1083,chaneins
01400,CHANOZ CHATENAY,AIN,1084,chanoz chatenay
01240,LA CHAPELLE DU CHATELARD,AIN,1085,la chapelle du chatelard
01260,CHARANCIN,AIN,1086,charancin
01130,CHARIX,AIN,1087,charix
01800,CHARNOZ SUR AIN,AIN,1088,charnoz sur ain
01500,CHATEAU GAILLARD,AIN,1089,chateau gaillard
01320,CHATENAY,AIN,1090,chatenay
01200,CHATILLON EN MICHAILLE,AIN,1091,chatillon en michaille
01320,CHATILLON LA PALUD,AIN,1092,chatillon la palud
01400,CHATILLON SUR CHALARONNE,AIN,1093,chatillon sur chalaronne
01190,CHAVANNES SUR REYSSOUZE,AIN,1094,chavannes sur reyssouze
01250,CHAVANNES SUR SURAN,AIN,1095,chavannes sur suran
01660,CHAVEYRIAT,AIN,1096,chaveyriat
01510,CHAVORNAY,AIN,1097,chavornay
01300,CHAZEY BONS,AIN,1098,chazey bons
01150,CHAZEY SUR AIN,AIN,1099,chazey sur ain
01510,CHEIGNIEU LA BALME,AIN,1100,cheignieu la balme
01430,CHEVILLARD,AIN,1101,chevillard
01190,CHEVROUX,AIN,1102,chevroux
01170,CHEVRY,AIN,1103,chevry
01200,CHEZERY FORENS,AIN,1104,chezery forens
01390,CIVRIEUX,AIN,1105,civrieux
01250,CIZE,AIN,1106,cize
01230,CLEYZIEU,AIN,1107,cleyzieu
01270,COLIGNY,AIN,1108,coligny
01550,COLLONGES,AIN,1109,collonges
01300,COLOMIEU,AIN,1110,colomieu
01230,CONAND,AIN,1111,conand
01430,CONDAMINE,AIN,1112,condamine
01400,CONDEISSIAT,AIN,1113,condeissiat
01200,CONFORT,AIN,1114,confort
01310,CONFRANCON,AIN,1115,confrancon
01300,CONTREVOZ,AIN,1116,contrevoz
01300,CONZIEU,AIN,1117,conzieu
01420,CORBONOD,AIN,1118,corbonod
01110,CORCELLES,AIN,1119,corcelles
01120,CORDIEUX,AIN,1120,cordieux
01110,CORLIER,AIN,1121,corlier
01110,CORMARANCHE EN BUGEY,AIN,1122,cormaranche en bugey
01290,CORMORANCHE SUR SAONE,AIN,1123,cormoranche sur saone
01560,CORMOZ,AIN,1124,cormoz
01250,CORVEISSIAT,AIN,1125,corveissiat
01370,COURMANGOUX,AIN,1127,courmangoux
01560,COURTES,AIN,1128,courtes
01320,CRANS,AIN,1129,crans
01340,CRAS SUR REYSSOUZE,AIN,1130,cras sur reyssouze
01200,CRAZ EN MICHAILLE,AIN,1131,craz en michaille
01350,CRESSIN ROCHEFORT,AIN,1133,cressin rochefort
01620,CROTTET,AIN,1134,crottet
01170,CROZET,AIN,1135,crozet
01290,CRUZILLES LES MEPILLAT,AIN,1136,cruzilles les mepillat
01370,CUISIAT,AIN,1137,cuisiat
01350,CULOZ,AIN,1138,culoz
01560,CURCIAT DONGALON,AIN,1139,curciat dongalon
01310,CURTAFOND,AIN,1140,curtafond
01300,CUZIEU,AIN,1141,cuzieu
01120,DAGNEUX,AIN,1142,dagneux
01220,DIVONNE LES BAINS,AIN,1143,divonne les bains
01380,DOMMARTIN,AIN,1144,dommartin
01240,DOMPIERRE SUR VEYLE,AIN,1145,dompierre sur veyle
01400,DOMPIERRE SUR CHALARONNE,AIN,1146,dompierre sur chalaronne
01270,DOMSURE,AIN,1147,domsure
01590,DORTAN,AIN,1148,dortan
01500,DOUVRES,AIN,1149,douvres
01250,DROM,AIN,1150,drom
01160,DRUILLAT,AIN,1151,druillat
01130,ECHALLON,AIN,1152,echallon
01170,ECHENEVEX,AIN,1153,echenevex
01340,ETREZ,AIN,1154,etrez
01230,EVOSGES,AIN,1155,evosges
01800,FARAMANS,AIN,1156,faramans
01480,FAREINS,AIN,1157,fareins
01550,FARGES,AIN,1158,farges
01570,FEILLENS,AIN,1159,feillens
01210,FERNEY VOLTAIRE,AIN,1160,ferney voltaire
01260,FITIGNIEU,AIN,1161,fitignieu
01350,FLAXIEU,AIN,1162,flaxieu
