Events

id,type,name,payment_mode,amount,price,change,detail,date
"404m4ihmjgmp5eu","reset","","",0,0,0,"auto","2025-12-22 05:00:57"
"404m4ihmjgsmfux","vend","Lave linge 5","cb",450,450,0,"","2025-12-22 07:46:49"
"404m4ihmjgsveqz","vend","Lessive","esp",100,60,40,"","2025-12-22 07:53:47"
"404m4ihmjgsvom1","vend","Lessive","esp",70,60,10,"","2025-12-22 07:54:00"
"404m4ihmjgswlji","vend","Lave linge 6","cb",450,450,0,"","2025-12-22 07:54:43"
"404m4ihmjgu343m","vend","Seche linge 2","cb",300,300,0,"","2025-12-22 08:27:46"
"404m4ihmjgudjmw","vend","Seche linge 1","cb",300,300,0,"","2025-12-22 08:35:53"
"404m4ihmjgy8ero","vend","Lave linge 5","esp",500,450,50,"","2025-12-22 10:23:48"
"404m4ihmjgzr6ib","vend","Seche linge 1","esp",500,150,350,"","2025-12-22 11:03:05"
"404m4ihmjh127uy","vend","Lave linge 4","esp",1000,850,150,"","2025-12-22 11:34:53"
"404m4ihmjh2oqwu","vend","Seche linge 1","cb",150,150,0,"","2025-12-22 12:14:20"
"404m4ihmjh30e12","vend","Seche linge 2","esp",1000,300,700,"","2025-12-22 12:22:27"
"404m4ihmjh31hkv","vend","Seche linge 1","cb",150,150,0,"","2025-12-22 12:23:11"
"404m4ihmjh3htpv","vend","Lave linge 3","esp",1000,850,150,"","2025-12-22 12:34:28"
"404m4ihmjh3lk99","vend","Lave linge 5","esp",500,450,50,"","2025-12-22 12:37:16"
"404m4ihmjh40itb","vend","Lave linge 6","cb",450,450,0,"","2025-12-22 12:47:59"
"404m4ihmjh4f9hd","vend","Seche linge 1","cb",300,300,0,"","2025-12-22 12:58:23"
"404m4ihmjh5aewr","vend","Seche linge 2","cb",150,150,0,"rejected","2025-12-22 13:20:22"
"404m4ihmjh5cbkz","vend","Seche linge 2","esp",150,150,0,"","2025-12-22 13:21:45"
"404m4ihmjh5ncg5","vend","Seche linge 1","esp",150,150,0,"","2025-12-22 13:29:31"
"404m4ihmjh5oga0","vend","Seche linge 1","cb",150,150,0,"rejected","2025-12-22 13:30:19"
"404m4ihmjh5p3k6","vend","Seche linge 2","cb",150,150,0,"rejected","2025-12-22 13:30:45"
"404m4ihmjh5yzdk","vend","Seche linge 2","cb",300,300,0,"","2025-12-22 13:37:55"
"404m4ihmjh64fhv","vend","Seche linge 1","cb",150,150,0,"","2025-12-22 13:41:49"
"404m4ihmjh6844m","vend","Lave linge 5","cb",450,450,0,"","2025-12-22 13:44:24"
"404m4ihmjh6m1m8","vend","Seche linge 1","esp",300,300,0,"","2025-12-22 13:54:16"
"404m4ihmjh6nh02","vend","Seche linge 2","cb",300,300,0,"rejected","2025-12-22 13:55:26"
"404m4ihmjh6odeb","vend","Seche linge 2","cb",300,300,0,"rejected","2025-12-22 13:56:08"
"404m4ihmjh6qvk7","vend","Seche linge 2","cb",300,300,0,"","2025-12-22 13:58:03"
"404m4ihmjh7jhgh","vend","Seche linge 1","cb",600,600,0,"","2025-12-22 14:19:11"
"404m4ihmjh8k3fv","vend","Lave linge 3","cb",850,850,0,"","2025-12-22 14:44:57"
"404m4ihmjh8nqnk","vend","Lave linge 4","cb",850,850,0,"","2025-12-22 14:47:34"
"404m4ihmjh9d6i7","vend","Seche linge 1","cb",300,300,0,"","2025-12-22 15:05:32"
"404m4ihmjhaasux","vend","Seche linge 1","cb",450,450,0,"","2025-12-22 15:28:16"
"404m4ihmjhaedeh","vend","Seche linge 2","cb",300,300,0,"","2025-12-22 15:30:43"
"404m4ihmjhal0df","vend","Lave linge 4","cb",850,850,0,"","2025-12-22 15:35:05"
"404m4ihmjhba4yz","vend","Seche linge 2","cb",300,300,0,"","2025-12-22 15:52:18"
"404m4ihmjhccc9d","vend","Seche linge 2","cb",600,600,0,"","2025-12-22 16:17:47"
"404m4ihmjhd1cth","vend","Lessive","cb",60,60,0,"","2025-12-22 16:35:16"
"404m4ihmjhd2vlu","vend","Lave linge 3","cb",850,850,0,"","2025-12-22 16:36:25"
"404m4ihmjhda802","vend","Lessive","esp",60,60,0,"","2025-12-22 16:41:55"
"404m4ihmjhdawa2","vend","Lessive","esp",60,60,0,"","2025-12-22 16:42:26"
"404m4ihmjhdbryq","vend","Seche linge 1","cb",450,450,0,"","2025-12-22 16:43:09"
"404m4ihmjhdd7mq","vend","Lave linge 4","esp",1000,850,150,"","2025-12-22 16:44:17"
