Date/Heure;;Type;Selection;Description;Pièce;Billet;Carte bancaire;Fidélitée;Prix;Insérée;Rendue
01/03/2024;09:15:22;Démarrage;01;Machine 8kg;0;0;6,50;0;6,50;6,50;0
01/03/2024;09:45:18;Démarrage;02;Séchoir 13kg;2,50;0;0;0;2,50;2,50;0
01/03/2024;10:12:33;Rechargement;05;Borne;0;10,00;0;0;0;10,00;0
01/03/2024;10:30:45;Démarrage;03;Machine 12kg;0;0;0;5,00;5,00;5,00;0
01/03/2024;11:00:00;Démarrage;01;Machine 8kg;3,00;2,00;0;0;5,00;7,00;2,00
01/03/2024;11:15:22;Annulé;02;Séchoir 13kg;0;0;3,50;0;3,50;3,50;0
01/03/2024;11:45:00;Démarrage;04;Lessive;0;0;1,50;0;1,50;1,50;0
01/03/2024;12:00:15;Démarrage;05;Détachant;0;0;0;2,00;2,00;2,00;0
01/03/2024;12:15:30;Démarrage;06;Assouplissant;1,00;0;0;0;1,00;1,00;0
01/03/2024;09:15:22;Démarrage;01;Machine 8kg;0;0;6,50;0;6,50;6,50;0
