Date/Heure(Europe/Paris);;Type;Selection;Description;Pièce;Billet;Carte bancaire;Fidélitée;Prix;Insérée;Rendue
31/12/2025 00:00;20:07:13;Démarrage;22;Séchoirs 13kg;2;0;0;0;2;2;0
31/12/2025 00:00;19:30:28;Démarrage;21;Séchoirs 13kg;0;5;0;0;2;5;3
31/12/2025 00:00;18:54:21;Démarrage;20;Séchoirs 13kg;0;0;2;0;2;2;0
31/12/2025 00:00;17:52:23;Démarrage;17;Machines 12kg;0;0;8;0;8;8;0
31/12/2025 00:00;13:50:29;Démarrage;17;Machines 12kg;0;0;0;8;8;8;0
31/12/2025 00:00;13:49:41;Démarrage;18;Machines 12kg;0;0;0;5;5;5;0
31/12/2025 00:00;12:00:00;Rechargement;01;Borne Fidélité;0;20;0;0;0;20;0
31/12/2025 00:00;11:00:00;Annulé;22;Séchoirs 13kg;0;0;2;0;2;2;0
31/12/2025 00:00;10:00:00;Démarrage;25;Lessive 2L;0;0;0;3,50;3,50;3,50;0
31/12/2025 00:00;09:30:00;Démarrage;26;Détachant 500ml;0;0;2,50;0;2,50;2,50;0
31/12/2025 00:00;09:00:00;Démarrage;27;Assouplissant 1L;0;0;1,50;0;1,50;1,50;0
31/12/2025 00:00;08:30:00;Démarrage;28;Séchoirs 13kg;1;0;1;0;2;2;0
;;;TOTAUX;;;;0;20;27,00;9,50;43,50;43,50;0
